"id","data_cadastro","dimensao","nome_identificador","notificacoes","time_stamp"
3,2025-04-14 16:36:21.076,"80x80",Berçario,{},2025-04-14 16:36:21.076
4,2025-04-14 16:40:00.277,"50x30",Creche,{},2025-04-14 16:40:00.277
1,2025-04-14 16:12:41.936,"100x140",Pimenteiras,"{""Na data 2025-04-16 a planta Pimenta Biquinho presente no local C 1 x L 1 passou para o ciclo FLORACAO"",""Na data 2025-04-20 a planta Pimenta Bodinho presente no local C 3 x L 1 passou para o ciclo FRUTIFICACAO"",""Na data 2025-04-21 a planta Pimenta Caiena presente no local C 2 x L 2 passou para o ciclo MUDA"",""Na data 2025-04-21 a planta Pimenta Biquinho presente no local C 1 x L 1 passou para o ciclo FRUTIFICACAO""}",2025-04-21 11:52:04.133
2,2025-04-14 16:23:14.172,"200x200",Produção,"{""Na data 2025-04-15 a planta Pimenta Bodinho presente no local C 2 x L 3 passou para o ciclo MUDA"",""Na data 2025-04-15 a planta Pimenta Bodinho presente no local C 2 x L 3 passou para o ciclo CRESCIMENTO"",""Na data 2025-04-17 a planta Pimenta Malagueta presente no local C 3 x L 1 passou para o ciclo FRUTIFICACAO"",""Na data 2025-04-21 a planta Pimenta Dedo de Moça presente no local C 1 x L 1 passou para o ciclo FLORACAO"",""Na data 2025-04-21 a planta Pimenta de Cheiro presente no local C 2 x L 1 passou para o ciclo FLORACAO""}",2025-04-21 11:53:54.370
